program,residence,rating,residence_Claudette Millar Hall (CMH),residence_Columbia Lake Village South (CLV-South),residence_Mackenzie King Village (MKV),residence_Ron Eydt Village (REV),residence_UW Place (UWP),residence_Village 1,program_AFM,program_Arts,program_Engineering,program_Environment,program_Health,program_Mathematics,program_Science,extraversion,agreeableness,conscientiousness,emotionalStability,Openness
0.0,0.0,4.960284346688053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8416554086752,2.941280016373646,4.50113884117608,3.132975236404582,3.53328807190794
0.0,0.0,1.1020617875729088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9318414397062578,1.0171015037458646,4.035188597598719,1.1757210139722853,2.4470467121239885
0.0,0.0,2.0441731049837295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5467740268341446,1.5219329803718897,3.9034247638084514,1.7092196171629293,2.9620271444111985
0.0,0.0,1.9752930156195985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8606558359228198,1.64481118184891,3.8408876985381513,1.7640022752271913,2.8572032306760313
0.0,0.0,2.961116303292232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4991348700730818,2.679801406368384,3.97877664663788,1.7058796707646398,3.234921268919118
0.0,0.0,4.075850878669699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4326897226181248,1.7287018289515346,4.051258398344527,2.657705363017267,3.3042159934042696
0.0,0.0,3.943512233703717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3787472595077825,2.1347787948588635,4.080594604116721,1.9657570087565108,2.9681741622664144
0.0,0.0,0.9674924619683944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6793698336450824,1.6800306954022968,4.147088937178637,1.0674154904554154,2.87270744518953
0.0,0.0,4.945389249676879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0285812465581556,2.875542002199192,4.164311884563205,3.1392283190452863,3.501425908067234
0.0,0.0,4.861711736983167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8370521332839145,2.587956629806394,3.887317262941404,3.0227919629861537,3.158722154953088
0.0,0.0,1.1434374022477725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.037481354090909,1.094694174569461,4.427954442833742,1.0107126227555947,2.362017293514315
0.0,0.0,2.23013277832363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3731903152238218,1.2886243897760294,4.536046740222618,1.5777387104501628,2.928861601388889
0.0,0.0,1.9608293739745832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9828757841015885,1.2920049595940322,4.225507920244356,1.3700742140334032,3.3473663802347255
0.0,0.0,3.2812672691336067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4525584459399443,2.7608273492116515,4.2108462006802325,1.9165394865906435,3.067391187790761
0.0,0.0,3.5914045909484753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.194359777525436,2.206807361074865,4.525943163074776,2.521750651589625,3.0972553713224324
0.0,0.0,3.87686336113148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8284288738013794,1.8170824693014562,4.367299373745657,2.1425588431417224,3.2751335800075463
0.0,0.0,1.0059062862321089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.557580896365958,1.650935868982117,3.6349346008176298,0.9146161546066992,3.198321924016402
0.0,0.0,4.45459202222967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4278825403178814,3.2392623563898426,4.541058233497655,3.0967217962374263,4.021551958452535
0.0,0.0,7.6974654870007715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.398295285854717,4.543088433110216,7.020307573836801,4.505620931169561,4.441296704497026
0.0,0.0,7.700860734038391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.197132575342664,2.8745814388476427,2.995200323495514,3.6481792053494613,3.1638414077953545
0.0,0.0,8.119493038314772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4631850364834007,4.656170346162281,6.0827236865918595,4.492519803237804,4.2358272753467
0.0,0.0,9.087434980979422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3086693556400193,4.680387796609842,2.2179979499759717,6.438755151074959,6.237602625404897
0.0,0.0,8.922870553543625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.097552423356128,4.339308518805634,3.8820826125888335,6.0029664807925975,6.046868054932191
0.0,0.0,2.686090903778085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9707624973330398,4.919657060390525,6.616638864544932,1.0111588597647185,4.377284941535703
0.0,0.0,8.124882253175887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.464475057824509,3.017872538097273,5.602040025633925,5.951105024765648,3.3025143755734123
0.0,0.0,8.070657305424454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.920640323827056,4.00867925538276,3.8063229581688596,6.208988941549152,4.568243536215207
0.0,0.0,7.67815039253332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7367003615249197,5.048311659590136,5.1983348772590965,5.490057143979446,6.137657649256641
0.0,0.0,7.267475721229951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.950773173455823,5.080245349038129,4.845401957243246,3.8386923931002266,3.982353079047411
0.0,0.0,8.043116989884538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.529250000513037,5.595051879042691,6.182156863668175,4.209932976303983,5.052166850146252
0.0,0.0,8.831425711871322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.61337262358956,6.461987246088517,4.93745056659884,3.866773838094201,3.6033498491321034
0.0,0.0,9.952746492682843,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.167473508326563,5.314832604122906,5.720534856614258,3.9100661416720364,3.8384138356191806
0.0,0.0,7.063257423457934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.9715937327953,5.10186279878864,5.028062892896576,4.025463505751444,3.4296372853526864
0.0,0.0,7.727897653828448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.39288570969675,4.883598143804637,5.126234773130601,3.88467632869187,2.8285900465901777
0.0,0.0,8.894781552216639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.477313819794583,5.330858512352417,5.179886238990709,3.9821983483701904,4.150693852363683
0.0,0.0,8.777202253503486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.497645189248977,5.997598079166689,4.992225562503172,3.88662866938165,5.062037545723947
0.0,0.0,7.114786901036353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.8032822960971515,5.0515318157888105,5.377752550827913,3.83200618626611,4.555784402711669
0.0,0.0,7.993290961019468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.853531732469041,5.888024408337539,4.784137346037838,3.629180145282337,3.732076287442086
0.0,0.0,9.16620481576278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.83036743302171,4.579718137714939,4.711175949262928,3.679245346051765,4.224880600055977
0.0,0.0,9.137175051909317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.595526132947386,5.81124263547799,6.018927755446804,4.429712140423486,3.8340714871411326
0.0,0.0,9.974515988223772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.222081128594929,5.0815212441338815,4.92711917415542,3.9271800627873836,4.222080028482087
0.0,0.0,8.23652081530289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.2362234998913495,5.9833508517711875,5.644431354549632,4.170651310539948,4.421868698775811
0.0,0.0,8.009118055206839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.508279217420125,4.895133764861479,4.969265482715217,4.047118300180222,3.918316977067081
0.0,0.0,8.84456580111286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.696621894069485,5.841109425479694,5.260983671303887,4.513678410857938,3.457503761838811
0.0,0.0,9.119114931570051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.626133452127753,5.064046358612533,5.160621089195542,3.8084406977917187,4.148434266322895
0.0,0.0,10.053955996876835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.430139783802996,5.566566438887297,5.38161647213529,3.493062563422482,3.637986730783794
